Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.751202,0.763722,0.743690,0.748698,0.001789,2156500
1962-01-03,0.744942,0.744942,0.738682,0.741186,0.001771,1477600
1962-01-04,0.741186,0.747446,0.726162,0.732422,0.001750,1837100
1962-01-05,0.732422,0.733674,0.701122,0.713642,0.001705,2725600
1962-01-08,0.713642,0.713642,0.691106,0.712390,0.001702,3095000
1962-01-09,0.712390,0.722406,0.707382,0.716146,0.001711,2326300
1962-01-10,0.716146,0.723658,0.713642,0.719902,0.001720,1956900
1962-01-11,0.719902,0.721154,0.707382,0.721154,0.001723,1627400
1962-01-12,0.721154,0.722406,0.708634,0.711138,0.001699,1687300
1962-01-15,0.712390,0.721154,0.712390,0.718650,0.001717,2116600
1962-01-16,0.718650,0.727414,0.713642,0.724910,0.001732,1387800
1962-01-17,0.723658,0.723658,0.703626,0.708634,0.001693,2136600
1962-01-18,0.708634,0.716146,0.707382,0.716146,0.001711,1477600
1962-01-19,0.716146,0.722406,0.716146,0.722406,0.001726,1327900
1962-01-22,0.723658,0.733674,0.723658,0.724910,0.001732,1417700
1962-01-23,0.722406,0.722406,0.708634,0.711138,0.001699,2276400
1962-01-24,0.711138,0.727414,0.708634,0.724910,0.001732,1597400
1962-01-25,0.724910,0.729918,0.712390,0.717398,0.001714,1587500
1962-01-26,0.717398,0.718650,0.712390,0.714894,0.001708,1008400
1962-01-29,0.714894,0.718650,0.713642,0.716146,0.001711,1018400
1962-01-30,0.724910,0.736178,0.724910,0.728666,0.001741,1777200
1962-01-31,0.728666,0.751202,0.727414,0.751202,0.001794,1877000
1962-02-01,0.751202,0.754958,0.738682,0.746194,0.001783,2565900
1962-02-02,0.746194,0.749950,0.741186,0.749950,0.001792,1477600
1962-02-05,0.748698,0.748698,0.736178,0.736178,0.001759,1407700
1962-02-06,0.738682,0.746194,0.738682,0.743690,0.001777,1038300
1962-02-07,0.743690,0.751202,0.741186,0.751202,0.001794,1687300
1962-02-08,0.751202,0.756210,0.749950,0.756210,0.001806,1757200
1962-02-09,0.756210,0.756210,0.742438,0.752454,0.001797,1507600
1962-02-12,0.752454,0.754958,0.748698,0.752454,0.001797,818700
1962-02-13,0.753706,0.761218,0.753706,0.761218,0.001818,1208100
1962-02-14,0.761218,0.769982,0.759966,0.767478,0.001833,1617400
1962-02-15,0.768730,0.781250,0.768730,0.778746,0.001860,1867000
1962-02-16,0.778746,0.779998,0.767478,0.773738,0.001848,2336300
1962-02-19,0.773738,0.777494,0.763722,0.767478,0.001833,1557500
1962-02-20,0.767478,0.767478,0.756210,0.766226,0.001830,1068300
1962-02-21,0.766226,0.769982,0.758714,0.763722,0.001824,1078300
1962-02-23,0.763722,0.764974,0.754958,0.756210,0.001806,1627400
1962-02-26,0.756210,0.758714,0.739934,0.746194,0.001783,1258000
1962-02-27,0.746194,0.751202,0.744942,0.751202,0.001794,928500
1962-02-28,0.751202,0.753706,0.744942,0.747446,0.001786,1657300
1962-03-01,0.751202,0.761218,0.751202,0.761218,0.001818,908500
1962-03-02,0.762470,0.771234,0.762470,0.766226,0.001830,1258000
1962-03-05,0.767478,0.773738,0.767478,0.767478,0.001833,1387800
1962-03-06,0.767478,0.768730,0.753706,0.756210,0.001806,938500
1962-03-07,0.756210,0.764974,0.756210,0.761218,0.001818,1008400
1962-03-08,0.761218,0.774990,0.758714,0.772486,0.001845,1767200
1962-03-09,0.776242,0.785006,0.776242,0.783754,0.001872,1976800
1962-03-12,0.783754,0.786258,0.781250,0.785006,0.001875,2106600
1962-03-13,0.785006,0.785006,0.776242,0.781250,0.001878,1287900
1962-03-14,0.781250,0.782502,0.772486,0.777494,0.001869,1088300
1962-03-15,0.777494,0.786258,0.773738,0.779998,0.001875,1887000
1962-03-16,0.781250,0.786258,0.781250,0.785006,0.001887,1038300
1962-03-19,0.785006,0.785006,0.776242,0.776242,0.001866,1108200
1962-03-20,0.776242,0.778746,0.773738,0.776242,0.001866,848600
1962-03-21,0.776242,0.778746,0.773738,0.774990,0.001863,1607400
1962-03-22,0.774990,0.777494,0.771234,0.771234,0.001854,1018400
1962-03-23,0.772486,0.781250,0.772486,0.781250,0.001878,1278000
1962-03-26,0.779998,0.779998,0.768730,0.768730,0.001848,1158100
1962-03-27,0.768730,0.774990,0.766226,0.774990,0.001863,1248000
1962-03-28,0.776242,0.785006,0.776242,0.779998,0.001875,1327900
1962-03-29,0.779998,0.786258,0.774990,0.778746,0.001872,1168100
1962-03-30,0.778746,0.779998,0.764974,0.769982,0.001851,1467600
1962-04-02,0.768730,0.768730,0.763722,0.766226,0.001842,1138200
1962-04-03,0.766226,0.766226,0.752454,0.757462,0.001821,1697300
1962-04-04,0.757462,0.764974,0.756210,0.758714,0.001824,1367800
1962-04-05,0.758714,0.764974,0.752454,0.764974,0.001839,1767200
1962-04-06,0.764974,0.768730,0.758714,0.759966,0.001827,1407700
1962-04-09,0.759966,0.762470,0.757462,0.758714,0.001824,1188100
1962-04-10,0.757462,0.757462,0.747446,0.747446,0.001797,1427700
1962-04-11,0.747446,0.754958,0.729918,0.733674,0.001764,1258000
1962-04-12,0.733674,0.737430,0.727414,0.729918,0.001755,1437700
1962-04-13,0.731170,0.757462,0.731170,0.748698,0.001800,1707300
1962-04-16,0.748698,0.749950,0.736178,0.742438,0.001785,1517600
1962-04-17,0.742438,0.746194,0.741186,0.743690,0.001788,1437700
1962-04-18,0.743690,0.746194,0.736178,0.741186,0.001782,3524400
1962-04-19,0.741186,0.744942,0.739934,0.742438,0.001785,1018400
1962-04-23,0.742438,0.744942,0.738682,0.738682,0.001776,1727200
1962-04-24,0.738682,0.739934,0.733674,0.733674,0.001764,2226400
1962-04-25,0.733674,0.737430,0.723658,0.723658,0.001740,2206500
1962-04-26,0.723658,0.732422,0.721154,0.723658,0.001740,1437700
1962-04-27,0.723658,0.734926,0.706130,0.711138,0.001710,2136600
1962-04-30,0.711138,0.716146,0.676082,0.686098,0.001649,2765600
1962-05-01,0.686098,0.706130,0.676082,0.702374,0.001689,3184900
1962-05-02,0.703626,0.717398,0.703626,0.708634,0.001704,2905300
1962-05-03,0.712390,0.721154,0.712390,0.721154,0.001734,3115000
1962-05-04,0.721154,0.723658,0.712390,0.718650,0.001728,1976800
1962-05-07,0.718650,0.719902,0.707382,0.711138,0.001710,2086700
1962-05-08,0.711138,0.711138,0.704878,0.709886,0.001707,1547500
1962-05-09,0.709886,0.711138,0.703626,0.708634,0.001704,2186500
1962-05-10,0.708634,0.713642,0.697366,0.702374,0.001689,2645800
1962-05-11,0.702374,0.711138,0.691106,0.693610,0.001668,3873800
1962-05-14,0.693610,0.704878,0.684846,0.704878,0.001695,3025200
1962-05-15,0.704878,0.713642,0.704878,0.708634,0.001704,2625800
1962-05-16,0.708634,0.711138,0.706130,0.709886,0.001707,1737200
1962-05-17,0.709886,0.714894,0.706130,0.709886,0.001707,808700
1962-05-18,0.712390,0.719902,0.712390,0.719902,0.001731,1877000
1962-05-21,0.719902,0.719902,0.713642,0.713642,0.001716,1387800
1962-05-22,0.713642,0.714894,0.696114,0.696114,0.001674,1687300
1962-05-23,0.691106,0.691106,0.678586,0.682342,0.001640,2206500
1962-05-24,0.682342,0.689854,0.671074,0.673578,0.001619,2845400
1962-05-25,0.673578,0.673578,0.652294,0.659806,0.001586,2545900
1962-05-28,0.657302,0.657302,0.622246,0.626002,0.001505,4233200
1962-05-29,0.626002,0.659806,0.600962,0.652294,0.001568,7797500
1962-05-31,0.654798,0.671074,0.654798,0.658554,0.001583,4343000
1962-06-01,0.658554,0.664814,0.651042,0.661058,0.001589,2735600
1962-06-04,0.659806,0.659806,0.631010,0.631010,0.001517,2016800
1962-06-05,0.631010,0.651042,0.626002,0.634766,0.001526,3174900
1962-06-06,0.642278,0.661058,0.642278,0.642278,0.001544,2196500
1962-06-07,0.644782,0.654798,0.644782,0.644782,0.001550,1058300
1962-06-08,0.647286,0.659806,0.647286,0.651042,0.001565,1337900
1962-06-11,0.651042,0.657302,0.644782,0.649790,0.001562,1178100
1962-06-12,0.642278,0.642278,0.612230,0.614734,0.001489,2735600
1962-06-13,0.614734,0.629758,0.610978,0.613482,0.001486,2775600
1962-06-14,0.613482,0.626002,0.608474,0.609726,0.001477,579100
1962-06-15,0.609726,0.628506,0.600962,0.628506,0.001523,3504400
1962-06-18,0.627254,0.627254,0.610978,0.618490,0.001499,2246400
1962-06-19,0.618490,0.619742,0.609726,0.614734,0.001489,1278000
1962-06-20,0.612230,0.612230,0.600962,0.600962,0.001456,2456100
1962-06-21,0.600962,0.600962,0.580929,0.580929,0.001408,3045100
1962-06-22,0.578425,0.578425,0.554637,0.555889,0.001347,3324700
1962-06-25,0.555889,0.565905,0.543369,0.560897,0.001359,4622600
