Date,Open,High,Low,Close,Adj Close,Volume
2015-06-19,0.040000,0.040000,0.040000,0.040000,0.036695,0
2015-06-22,0.035000,0.035000,0.035000,0.035000,0.032108,5000
2015-06-23,0.035000,0.035000,0.035000,0.035000,0.032108,0
2015-06-24,0.035000,0.035000,0.035000,0.035000,0.032108,135000
2015-06-25,0.030000,0.030000,0.025000,0.025000,0.022934,444666
2015-06-26,0.030000,0.030000,0.030000,0.030000,0.027521,16330
2015-06-29,0.025000,0.025000,0.025000,0.025000,0.022934,891501
2015-06-30,0.025000,0.025000,0.025000,0.025000,0.022934,229000
2015-07-01,0.025000,0.025000,0.025000,0.025000,0.022934,0
2015-07-02,0.030000,0.050000,0.030000,0.045000,0.041282,5041481
2015-07-06,0.040000,0.050000,0.040000,0.045000,0.041282,173200
2015-07-07,0.050000,0.055000,0.035000,0.050000,0.045869,4232470
2015-07-08,0.055000,0.065000,0.050000,0.055000,0.050456,5293667
2015-07-09,0.060000,0.060000,0.050000,0.050000,0.045869,567000
2015-07-10,0.050000,0.060000,0.045000,0.055000,0.050456,2286014
2015-07-13,0.060000,0.060000,0.050000,0.050000,0.045869,632560
2015-07-14,0.055000,0.055000,0.045000,0.045000,0.041282,384000
2015-07-15,0.045000,0.050000,0.040000,0.045000,0.041282,1508661
2015-07-16,10.410000,11.550000,10.410000,11.080000,10.164510,2562400
2015-07-17,11.470000,11.480000,9.270000,10.020000,9.192094,1402500
2015-07-20,9.710000,10.500000,9.380000,9.750000,8.944402,348700
2015-07-21,9.740000,10.100000,9.700000,9.980000,9.155397,29000
2015-07-22,10.000000,10.380000,9.510000,9.660000,8.861838,131800
2015-07-23,9.750000,10.050000,9.732000,9.760000,8.953576,14100
2015-07-24,9.810000,10.390000,9.800000,9.970000,9.146225,138200
2015-07-27,9.780000,10.020000,9.500000,9.700000,8.898534,77700
2015-07-28,9.620000,10.000000,9.500000,9.980000,9.155397,46600
2015-07-29,9.930000,10.090000,9.930000,10.016000,9.188424,2600
2015-07-30,10.290000,10.500000,9.800000,9.880000,9.063662,70100
2015-07-31,9.950000,10.260000,9.870000,10.230000,9.384742,11400
2015-08-03,10.070000,10.150000,10.030000,10.102000,9.267319,18200
2015-08-04,10.010000,10.100000,10.010000,10.010000,9.182920,17000
2015-08-05,10.050000,10.050000,10.000000,10.000000,9.173746,12400
2015-08-06,10.000000,10.040000,9.900000,9.900000,9.082008,91900
